=== Sheet: 通讯录 ===
0:  |  |  |  |  |  |  | 日期：2021年6月7日
1: 中烟国际集团有限公司通讯录 |  |  |  |  |  |  | 
3: 序号 | 部 门 | 职 务 |  |  |  |  | 
4: 1 | 领导 | 董事、副总经理 | * |  |  |  | 
5: 2 |  | 董事、副总经理 | * |  |  |  | 
6: 3 |  | 董 事 | * |  |  |  | 
7: 4 |  | 董事、副总经理 | * |  |  |  | 
8: 5 |  | 董事、副总经理 | * |  |  |  | 
9: 6 |  | 董 事 | * |  |  |  | 
10: 7 | 公共事务部 | 总 监 | * |  |  |  | 
11: 8 |  | 高级经理 | * |  |  |  | 
12: 9 |  | 高级经理 | * |  |  |  | 
13: 10 |  | 高级副经理 |  |  |  |  | 
14: 11 |  | 经 理 |  |  |  |  | 
15: 12 |  | 经 理 |  |  |  |  | 
16: 13 |  | 经 理 |  |  |  |  | 
17: 14 |  | 资深专员 |  |  |  |  | 
18: 15 |  | 专 员 |  |  |  |  | 
19: 16 |  | 助理兼司机 |  |  |  |  | 
20: 17 |  | 司 机 |  |  |  |  | 
21: 18 | 战略发展部 | 副总监 | * |  |  |  | 
22: 19 |  | 高级经理 | * |  |  |  | 
23: 20 |  | 高级经理 | * |  |  |  | 
24: 21 |  | 资深专员 |  |  |  |  | 
25: 22 |  | 资深专员 |  |  |  |  | 
26: 23 | 市场营销部 | 总 监 | * |  |  |  | 
27: 24 |  | 副总监 | * |  |  |  | 
28: 25 |  | 高级经理 | * |  |  |  | 
29: 26 |  | 高级副经理 |  |  |  |  | 
30: 27 |  | 经 理 |  |  |  |  | 
31: 28 | 供应链部 | 总 监 | * |  |  |  | 
32: 29 |  | 副总监 | * |  |  |  | 
33: 30 |  | 高级经理 | * |  |  |  | 
34: 31 |  | 高级经理 | * |  |  |  | 
35: 32 |  | 经 理 |  |  |  |  | 
36: 33 |  | 资深专员 |  |  |  |  | 
37: 34 |  | 专 员 |  |  |  |  | 
38: 35 |  | 助 理 |  |  |  |  | 
39: 36 | 生产运营部 | 副总监 | * |  |  |  | 
40: 37 |  | 高级经理 | * |  |  |  | 
41: 38 | 财务部 | 总 监 | * |  |  |  | 
42: 39 |  | 副总监 | * |  |  |  | 
43: 40 |  | 高级经理 | * |  |  |  | 
44: 41 |  | 高级经理 |  |  |  |  | 
45: 42 |  | 高级经理 |  |  |  |  | 
46: 43 |  | 高级经理 |  |  |  |  | 
47: 44 |  | 高级副经理 |  |  |  |  | 
48: 45 |  | 高级副经理 |  |  |  |  | 
49: 46 |  | 会 计 |  |  |  |  | 
50: 47 |  | 出 纳 |  |  |  |  | 
51: 48 | 人力资源部 | 总 监 | * |  |  |  | 
52: 49 |  | 副总监 | * |  |  |  | 
53: 50 |  | 高级经理 | * |  |  |  | 
54: 51 |  | 副经理 |  |  |  |  | 
55: 52 | 信息数字化部 | 总 监 | * |  |  |  | 
56: 53 |  | 副总监 | * |  |  |  | 
57: 54 |  | 经 理 |  |  |  |  | 
58: 55 |  | 资深专员 |  |  |  |  | 
59: 56 | 合规风控部 | 总 监 | * |  |  |  | 
60: 57 |  | 副总监 | * |  |  |  | 
61: 58 |  | 高级副经理 | * |  |  |  | 
62: 59 |  | 高级副经理 |  |  |  |  | 
63: 60 |  | 资深专员 |  |  |  |  | 
64: 61 |  | 资深专员 |  |  |  |  | 
65: 62 | 监察部 | 总 监 | * |  |  |  | 
66: 63 |  | 副总监 | * |  |  |  | 
67: 64 |  | 高级经理 | * |  |  |  | 
